PS_DAC		NMR_DAC		NMR_Prb		Field[T]
30000		1555		E		0.1402
40000		2405		E		0.1861
50000		3215		E		0.2318
80000		315		F		0.3687
90000		700		F		0.4143
100000		1020		F		0.4597
110000		1289		F		0.5051
120000		1540		F		0.5504
130000		1762		F		0.5958
140000		1985		F		0.6411
150000		2212		F		0.6862
160000		2416		F		0.7313
170000		2608		F		0.7762
180000		2805		F		0.8209
190000		842		G		0.8656
200000		996		G		0.91
210000		1125		G		0.9543
220000		1259		G		0.9983
230000		1390		G		1.042
240000		1495		G		1.0853
250000		1612		G		1.1281
260000		1711		G		1.1701
270000		1800		G		1.2108
280000		1910		G		1.2496
290000		1990		G		1.2861
300000		2072		G		1.3201
310000		2140		G		1.3517
320000		2210		G		1.3811
330000		2280		G		1.4086
340000		2340		G		1.4344
350000		2400		G		1.4588
